,track_name,playlist_pos
0,Flyers,28
1,Eren Zahyo,94
2,Okinimesumama,52
3,遥か彼方,33
4,WWW,138
5,火炎,38
6,Re:member,4
7,Sparkle - movie ver.,8
8,Great Escape,6
9,Dramaturgy,73
10,chAngE,63
11,oath sign,24
12,SPECIALZ,130
13,FLY HIGH!!,31
14,Zenzenzense - movie ver.,11
15,asphyxia,35
16,Sign,2
17,Contradiction (feat. Tyler Carter),46
18,Todokanu Hito Ni,18
19,Charm,139
20,Avid,88
21,Lemon,112
22,"Orange (From ""Toradora"")",14
23,Togenkyo To Taxi,134
24,Backlight,141
25,一途,87
26,Hero's Come Back!!(第1話〜第30話),5
27,怪物,113
