,track_name,playlist_pos
0,oath sign,24
1,怪物,113
2,乱舞のメロディ,103
3,勘冴えて悔しいわ,114
4,ラグトレイン,71
5,"Cagayake! Girls (From ""K-On!"")",116
6,天地ガエシ 『ハイキュー!!』EDバージョン,85
7,acc,17
8,想いきり,111
9,THE DAY,32
10,WWW,138
11,give it back,77
12,W●RK,121
13,Colors of the Heart,100
14,遥か彼方,33
15,Lemon,112
16,Sparkle - movie ver.,8
17,the end of childhood,123
18,Vacation,106
19,だってアタシのヒーロー。,61
20,Yoruwahonoka,105
21,Show,140
22,FAITH,64
23,Re:Re: (2016 Version),58
24,ブルーバード,29
25,Contradiction (feat. Tyler Carter),46
26,livingroom,119
27,空に歌えば,60
