,track_name,playlist_pos
0,RISE,30
1,Sparkle - movie ver.,8
2,My Nonfiction,89
3,Wind,98
4,KICK BACK,104
5,more than words,131
6,ラグトレイン,71
7,veil,75
8,Re:Re: (2016 Version),58
9,分かってないよ,82
10,ニルヴァーナ,83
11,ME!ME!ME! feat. daoko_pt.3,129
12,"Ghost In A Flower (From ""A Whisker Away"")",65
13,STAY ALIVE,70
14,リビングデッド・ユース,99
15,空と虚,132
16,Let Me Be With You,48
17,hikari,42
18,かかってこいよ,92
19,Colors of the Heart,100
20,STYX HELIX,50
21,インフェルノ,39
22,想いきり,111
23,第六感,84
24,＊～アスタリスク～ (第1-25話 OP),13
25,the end of childhood,123
26,FLY HIGH!!,31
27,FAITH,64
