,track_name,playlist_pos
0,Period,37
1,more than words,131
2,Movie Star,93
3,ME!ME!ME! feat. daoko_pt.1,127
4,nail-biter,109
5,勘冴えて悔しいわ,114
6,Rendezvous,108
7,だってアタシのヒーロー。,61
8,The Slum City,91
9,unravel,27
10,In the Back Room,107
11,乱舞のメロディ,103
12,わたしの線香,137
13,Charm,139
14,We'll Be Alright,136
15,春雷,44
16,TOP -Japanese ver.-,47
17,life hack,40
18,Saishusenkoku,51
19,Out of Control,124
20,I Really Want to Stay at Your House,96
21,Kyouran Hey Kids!!,19
22,Rolling Star (第98-120話 OP),12
23,Yoruwahonoka,105
24,かかってこいよ,92
25,シルエット,20
26,色彩,97
27,"Cagayake! Girls (From ""K-On!"")",116
