,track_name,playlist_pos
0,"WIN - ""The God of HighSchool"" ED",45
1,ME!ME!ME! feat. daoko_pt.1,127
2,nail-biter,109
3,innocent arrogance,120
4,空に歌えば,60
5,三原色,81
6,第六感,84
7,嘘,101
8,Overdose,135
9,夜に駆ける,49
10,火炎,38
11,想いきり,111
12,"Cagayake! Girls (From ""K-On!"")",116
13,Acoustic Installation,25
14,the end of childhood,123
15,Vacation,106
16,名前のない怪物,62
17,Sign,2
18,CLOSER(第78話〜第102話),57
19,Re:member,4
20,STAY ALIVE,70
21,Black Catcher,68
22,WWW,138
23,ブルーバード,29
24,In the Back Room,107
25,I Really Want to Stay at Your House,96
26,春雷,44
27,Eren Zahyo,94
