,track_name,playlist_pos
0,Re:member,4
1,ラグトレイン,71
2,ニルヴァーナ,83
3,that's a dream come true,110
4,右肩の蝶,126
5,インフェルノ,39
6,again,36
7,more than words,131
8,RISE,30
9,嘘,101
10,"One more time, One more chance",21
11,(i can) say nothing,16
12,Acoustic Installation,25
13,＊～アスタリスク～ (第1-25話 OP),13
14,lvs(var),15
15,Haru wo Tsugeru,79
16,HACK,56
17,chAngE,63
18,Lost Umbrella,78
19,VORACITY,69
20,春雷,44
21,Saishusenkoku,51
22,Rendezvous,108
23,ODDTAXI,76
24,Eren Zahyo,94
25,MUKANJYO,102
26,Grand Escape (feat. Toko Miura),22
27,LilaS,133
