,track_name,playlist_pos
0,(i can) say nothing,16
1,SPECIALZ,130
2,Barricades,95
3,右肩の蝶,126
4,Eren Zahyo,94
5,Adamas (Sword Art Online: Alicization),1
6,sister,53
7,ME!ME!ME! feat. daoko_pt.1,127
8,"Ghost In A Flower (From ""A Whisker Away"")",65
9,嘘,101
10,空と虚,132
11,天地ガエシ 『ハイキュー!!』EDバージョン,85
12,勘冴えて悔しいわ,114
13,Flyers,28
14,veil,75
15,Wind,98
16,TOP -Japanese ver.-,47
17,Nandemonaiya - movie edit.,9
18,Sparkle - movie ver.,8
19,Sign,2
20,hikari,42
21,ピースサイン,34
22,Lost Umbrella,78
23,Colors of the Heart,100
24,Altern-ate-,66
25,Great Escape,6
26,Re:member,4
27,色彩,97
