,track_name,playlist_pos
0,Avid,88
1,怪物,113
2,livingroom,119
3,遥か彼方,33
4,夜に駆ける,49
5,うっせぇわ,80
6,リセット,43
7,Adamas (Sword Art Online: Alicization),1
8,Dream lantern,10
9,innocent arrogance,120
10,HACK,56
11,ME!ME!ME! feat. daoko_pt.3,129
12,Lemon,112
13,sister,53
14,sweet dreams,118
15,Lost Umbrella,78
16,Movie Star,93
17,THE DAY,32
18,W●RK,121
19,Rolling Star (第98-120話 OP),12
20,Rendezvous,108
21,カワキヲアメク,59
22,Nandemonaiya - movie edit.,9
23,"WIN - ""The God of HighSchool"" ED",45
24,RISE,30
25,unravel,27
26,life hack,40
27,more than words,131
