,track_name,playlist_pos
0,We'll Be Alright,136
1,カワキヲアメク,59
2,Saishusenkoku,51
3,FAITH,64
4,LilaS,133
5,chAngE,63
6,Backlight,141
7,sweet dreams,118
8,"WIN - ""The God of HighSchool"" ED",45
9,I Really Want to Stay at Your House,96
10,arg.,122
11,My Nonfiction,89
12,unravel,27
13,Eren Zahyo,94
14,＊～アスタリスク～ (第1-25話 OP),13
15,わたしの線香,137
16,ブルーバード,29
17,sister,53
18,かかってこいよ,92
19,SLUMP -Japanese ver.-,74
20,KICK BACK,104
21,ラグトレイン,71
22,"Orange (From ""Toradora"")",14
23,RISE,30
24,life hack,40
25,Flyers,28
26,名前のない怪物,62
27,oath sign,24
