,track_name,playlist_pos
0,crossing field,7
1,Zenzenzense - movie ver.,11
2,Show,140
3,三原色,81
4,わたしの線香,137
5,oath sign,24
6,分かってないよ,82
7,Backlight,141
8,GO!!!,3
9,Lemon,112
10,chAngE,63
11,KICK BACK,104
12,hikari,42
13,SLUMP -Japanese ver.-,74
14,Re:Re: (2016 Version),58
15,lvs(var),15
16,HACK,56
17,again,36
18,LOST IN PARADISE,55
19,FAITH,64
20,うっせぇわ,80
21,東京フラッシュ,115
22,Grand Escape (feat. Toko Miura),22
23,Lost Umbrella,78
24,Re:member,4
25,Dramaturgy,73
26,LilaS,133
27,Is There Still Anything That Love Can Do?,23
