,track_name,playlist_pos
0,hikari,42
1,Altern-ate-,66
2,ME!ME!ME! feat. daoko_pt.3,129
3,SPECIALZ,130
4,Wind,98
5,Backlight,141
6,"Orange (From ""Toradora"")",14
7,Colors of the Heart,100
8,Sparkle - movie ver.,8
9,more than words,131
10,again,36
11,SLUMP -Japanese ver.-,74
12,Barricades,95
13,FightSong,117
14,VORACITY,69
15,夜に駆ける,49
16,ME!ME!ME! feat. daoko_pt.1,127
17,Lost Umbrella,78
18,Out of Control,124
19,lvs(var),15
20,STYX HELIX,50
21,Charm,139
22,crossing field,7
23,Vacation,106
24,ODDTAXI,76
25,名前のない怪物,62
26,勘冴えて悔しいわ,114
27,三原色,81
