,track_name,playlist_pos
0,FightSong,117
1,ピースサイン,34
2,give it back,77
3,lvs(var),15
4,Contradiction (feat. Tyler Carter),46
5,asphyxia,35
6,かかってこいよ,92
7,Charm,139
8,Show,140
9,LOST IN PARADISE,55
10,Rendezvous,108
11,"WIN - ""The God of HighSchool"" ED",45
12,katharsis,26
13,STAY ALIVE,70
14,Rolling Star (第98-120話 OP),12
15,SLUMP -Japanese ver.-,74
16,sister,53
17,ニルヴァーナ,83
18,"Orange (From ""Toradora"")",14
19,分かってないよ,82
20,VORACITY,69
21,右肩の蝶,126
22,Altern-ate-,66
23,勘冴えて悔しいわ,114
24,カワキヲアメク,59
25,空と虚,132
26,天地ガエシ 『ハイキュー!!』EDバージョン,85
27,Togenkyo To Taxi,134
