,track_name,playlist_pos
0,Re:Re: (2016 Version),58
1,ME!ME!ME! feat. daoko_pt.1,127
2,Charm,139
3,Grand Escape (feat. Toko Miura),22
4,oath sign,24
5,innocent arrogance,120
6,Re:member,4
7,ラグトレイン,71
8,夜に駆ける,49
9,Barricades,95
10,The Slum City,91
11,FAITH,64
12,Lost Umbrella,78
13,Counter Attack-Mankind,90
14,SLUMP -Japanese ver.-,74
15,the end of childhood,123
16,想いきり,111
17,わたしの線香,137
18,FLY HIGH!!,31
19,分かってないよ,82
20,Movie Star,93
21,廻廻奇譚,54
22,Vacation,106
23,第六感,84
24,more than words,131
25,かかってこいよ,92
26,lvs(var),15
27,LOST IN PARADISE,55
