,track_name,playlist_pos
0,veil,75
1,Sign,2
2,nail-biter,109
3,arg.,122
4,ブルーバード,29
5,KICK BACK,104
6,Shogeki,86
7,ODDTAXI,76
8,うっせぇわ,80
9,三原色,81
10,不可幸力,41
11,Grand Escape (feat. Toko Miura),22
12,We'll Be Alright,136
13,Dramaturgy,73
14,ラグトレイン,71
15,more than words,131
16,Zenzenzense - movie ver.,11
17,"Ghost In A Flower (From ""A Whisker Away"")",65
18,勘冴えて悔しいわ,114
19,Notice,67
20,Let Me Be With You,48
21,SLUMP -Japanese ver.-,74
22,だってアタシのヒーロー。,61
23,Eren Zahyo,94
24,Counter Attack-Mankind,90
25,LOST IN PARADISE,55
26,Wind,98
27,Haru wo Tsugeru,79
