,track_name,playlist_pos
0,"Orange (From ""Toradora"")",14
1,Re:member,4
2,again,36
3,Dramaturgy,73
4,遥か彼方,33
5,Black Catcher,68
6,the end of childhood,123
7,ME!ME!ME! feat. daoko_pt.2,128
8,＊～アスタリスク～ (第1-25話 OP),13
9,ラグトレイン,71
10,STYX HELIX,50
11,Lemon,112
12,想いきり,111
13,veil,75
14,(i can) say nothing,16
15,abnormalize,125
16,FLY HIGH!!,31
17,VORACITY,69
18,リビングデッド・ユース,99
19,Show,140
20,Barricades,95
21,The Slum City,91
22,WWW,138
23,Lost Umbrella,78
24,livingroom,119
25,ニルヴァーナ,83
26,Avid,88
27,ブルーバード,29
