,track_name,playlist_pos
0,Todokanu Hito Ni,18
1,一途,87
2,Sparkle - movie ver.,8
3,"One more time, One more chance",21
4,The Slum City,91
5,Yoruwahonoka,105
6,Black Catcher,68
7,WWW,138
8,空と虚,132
9,＊～アスタリスク～ (第1-25話 OP),13
10,abnormalize,125
11,FLY HIGH!!,31
12,LOST IN PARADISE,55
13,sister,53
14,SPECIALZ,130
15,veil,75
16,Re:member,4
17,リセット,43
18,hikari,42
19,VORACITY,69
20,life hack,40
21,右肩の蝶,126
22,天地ガエシ 『ハイキュー!!』EDバージョン,85
23,Charm,139
24,ME!ME!ME! feat. daoko_pt.1,127
25,Okinimesumama,52
26,怪物,113
27,Notice,67
