,track_name,playlist_pos
0,THE DAY,32
1,RISE,30
2,the end of childhood,123
3,Counter Attack-Mankind,90
4,Lost Umbrella,78
5,Barricades,95
6,Wind,98
7,"One more time, One more chance",21
8,Let Me Be With You,48
9,一途,87
10,MUKANJYO,102
11,Kyouran Hey Kids!!,19
12,Zenzenzense - movie ver.,11
13,リビングデッド・ユース,99
14,give it back,77
15,インフェルノ,39
16,Acoustic Installation,25
17,右肩の蝶,126
18,KICK BACK,104
19,Out of Control,124
20,うっせぇわ,80
21,Backlight,141
22,Eren Zahyo,94
23,FLY HIGH!!,31
24,Overdose,135
25,天地ガエシ 『ハイキュー!!』EDバージョン,85
26,Nandemonaiya - movie edit.,9
27,Rendezvous,108
