,track_name,playlist_pos
0,Hero's Come Back!!(第1話〜第30話),5
1,unravel,27
2,livingroom,119
3,"Cagayake! Girls (From ""K-On!"")",116
4,ブルーバード,29
5,Rendezvous,108
6,リビングデッド・ユース,99
7,空に歌えば,60
8,Zenzenzense - movie ver.,11
9,KICK BACK,104
10,SPECIALZ,130
11,acc,17
12,veil,75
13,ME!ME!ME! feat. daoko_pt.2,128
14,Okinimesumama,52
15,右肩の蝶,126
16,SLUMP -Japanese ver.-,74
17,RISE,30
18,Re:Re: (2016 Version),58
19,Colors of the Heart,100
20,Todokanu Hito Ni,18
21,色彩,97
22,乱舞のメロディ,103
23,ニルヴァーナ,83
24,Barricades,95
25,Great Escape,6
26,Nandemonaiya - movie edit.,9
27,Altern-ate-,66
