,track_name,playlist_pos
0,unravel,27
1,Overdose,135
2,Counter Attack-Mankind,90
3,abnormalize,125
4,Togenkyo To Taxi,134
5,We'll Be Alright,136
6,リビングデッド・ユース,99
7,分かってないよ,82
8,"WIN - ""The God of HighSchool"" ED",45
9,だってアタシのヒーロー。,61
10,Period,37
11,more than words,131
12,三原色,81
13,Shogeki,86
14,うっせぇわ,80
15,katharsis,26
16,Dream lantern,10
17,arg.,122
18,カワキヲアメク,59
19,Grand Escape (feat. Toko Miura),22
20,ME!ME!ME! feat. daoko_pt.3,129
21,STYX HELIX,50
22,Zenzenzense - movie ver.,11
23,廻廻奇譚,54
24,Saishusenkoku,51
25,lvs(var),15
26,Nandemonaiya - movie edit.,9
27,ラグトレイン,71
