,track_name,playlist_pos
0,Kyouran Hey Kids!!,19
1,ME!ME!ME! feat. daoko_pt.2,128
2,Wind,98
3,だってアタシのヒーロー。,61
4,Rolling Star (第98-120話 OP),12
5,Lost Umbrella,78
6,In the Back Room,107
7,unravel,27
8,that's a dream come true,110
9,空に歌えば,60
10,Rendezvous,108
11,LilaS,133
12,Re:member,4
13,Sign,2
14,Shogeki,86
15,東京フラッシュ,115
16,リビングデッド・ユース,99
17,(i can) say nothing,16
18,Show,140
19,Out of Control,124
20,Charm,139
21,Dream lantern,10
22,第六感,84
23,ブルーバード,29
24,Altern-ate-,66
25,KICK BACK,104
26,STAY ALIVE,70
27,THE DAY,32
