,track_name,playlist_pos
0,Contradiction (feat. Tyler Carter),46
1,ME!ME!ME! feat. daoko_pt.2,128
2,＊～アスタリスク～ (第1-25話 OP),13
3,Period,37
4,Flyers,28
5,unravel,27
6,廻廻奇譚,54
7,the end of childhood,123
8,katharsis,26
9,不可幸力,41
10,乱舞のメロディ,103
11,nail-biter,109
12,Rendezvous,108
13,My Nonfiction,89
14,三原色,81
15,一途,87
16,嘘,101
17,Black Catcher,68
18,(i can) say nothing,16
19,Wind,98
20,Counter Attack-Mankind,90
21,Re:member,4
22,In the Back Room,107
23,Sparkle - movie ver.,8
24,空に歌えば,60
25,Sign,2
26,Todokanu Hito Ni,18
27,that's a dream come true,110
