,track_name,playlist_pos
0,Saishusenkoku,51
1,Charm,139
2,遥か彼方,33
3,life hack,40
4,第六感,84
5,かかってこいよ,92
6,Rendezvous,108
7,TOP -Japanese ver.-,47
8,Backlight,141
9,livingroom,119
10,crossing field,7
11,Todokanu Hito Ni,18
12,Kyouran Hey Kids!!,19
13,＊～アスタリスク～ (第1-25話 OP),13
14,My Nonfiction,89
15,リセット,43
16,THE DAY,32
17,unravel,27
18,分かってないよ,82
19,W●RK,121
20,LilaS,133
21,"Cagayake! Girls (From ""K-On!"")",116
22,I Really Want to Stay at Your House,96
23,Out of Control,124
24,火炎,38
25,GO!!!,3
26,天地ガエシ 『ハイキュー!!』EDバージョン,85
27,Re:member,4
