,track_name,playlist_pos
0,Wind,98
1,Togenkyo To Taxi,134
2,乱舞のメロディ,103
3,THE DAY,32
4,SLUMP -Japanese ver.-,74
5,春雷,44
6,Lost Umbrella,78
7,Dream lantern,10
8,廻廻奇譚,54
9,リセット,43
10,Kyouran Hey Kids!!,19
11,SPECIALZ,130
12,Contradiction (feat. Tyler Carter),46
13,ピースサイン,34
14,In the Back Room,107
15,We'll Be Alright,136
16,Yoruwahonoka,105
17,Rolling Star (第98-120話 OP),12
18,Eren Zahyo,94
19,more than words,131
20,インフェルノ,39
21,FLY HIGH!!,31
22,oath sign,24
23,Rendezvous,108
24,KICK BACK,104
25,Grand Escape (feat. Toko Miura),22
26,W●RK,121
27,Barricades,95
