,track_name,playlist_pos
0,Movie Star,93
1,Overdose,135
2,STYX HELIX,50
3,hikari,42
4,LOST IN PARADISE,55
5,色彩,97
6,(i can) say nothing,16
7,sister,53
8,ME!ME!ME! feat. daoko_pt.2,128
9,Is There Still Anything That Love Can Do?,23
10,Adamas (Sword Art Online: Alicization),1
11,Rendezvous,108
12,火炎,38
13,一途,87
14,Barricades,95
15,Kyouran Hey Kids!!,19
16,FLY HIGH!!,31
17,sweet dreams,118
18,RISE,30
19,ME!ME!ME! feat. daoko_pt.1,127
20,ピースサイン,34
21,右肩の蝶,126
22,My Nonfiction,89
23,Okinimesumama,52
24,不可幸力,41
25,リビングデッド・ユース,99
26,again,36
27,Hero's Come Back!!(第1話〜第30話),5
