,track_name,playlist_pos
0,sister,53
1,Zenzenzense - movie ver.,11
2,Dream lantern,10
3,"Orange (From ""Toradora"")",14
4,インフェルノ,39
5,Out of Control,124
6,シルエット,20
9,"One more time, One more chance",21
10,右肩の蝶,126
11,"Cagayake! Girls (From ""K-On!"")",116
12,Acoustic Installation,25
13,Lost Umbrella,78
14,Is There Still Anything That Love Can Do?,23
15,分かってないよ,82
16,give it back,77
17,Let Me Be With You,48
18,CLOSER(第78話〜第102話),57
19,春雷,44
20,三原色,81
21,abnormalize,125
22,I Really Want to Stay at Your House,96
23,リビングデッド・ユース,99
24,Nandemonaiya - movie edit.,9
25,FLY HIGH!!,31
26,Togenkyo To Taxi,134
27,unravel,27
