,track_name,playlist_pos
0,Re:Re: (2016 Version),58
1,crossing field,7
2,空と虚,132
3,RISE,30
4,GO!!!,3
5,SPECIALZ,130
6,かかってこいよ,92
7,Counter Attack-Mankind,90
8,Okinimesumama,52
9,chAngE,63
10,春雷,44
11,Dream lantern,10
12,"Ghost In A Flower (From ""A Whisker Away"")",65
13,veil,75
14,KICK BACK,104
15,STAY ALIVE,70
16,Black Catcher,68
17,Sparkle - movie ver.,8
18,Backlight,141
19,うっせぇわ,80
20,W●RK,121
21,想いきり,111
22,夜に駆ける,49
23,In the Back Room,107
24,unravel,27
25,Zenzenzense - movie ver.,11
26,勘冴えて悔しいわ,114
27,Yoruwahonoka,105
