,track_name,playlist_pos
0,that's a dream come true,110
1,分かってないよ,82
2,the end of childhood,123
3,シルエット,20
4,想いきり,111
5,Let Me Be With You,48
6,名前のない怪物,62
7,春雷,44
8,Acoustic Installation,25
9,Great Escape,6
10,Dream lantern,10
11,GO!!!,3
12,again,36
13,LilaS,133
14,Colors of the Heart,100
15,FLY HIGH!!,31
16,乱舞のメロディ,103
17,Altern-ate-,66
18,SLUMP -Japanese ver.-,74
19,かかってこいよ,92
20,Haru wo Tsugeru,79
21,acc,17
22,ME!ME!ME! feat. daoko_pt.3,129
23,arg.,122
24,東京フラッシュ,115
25,"Ghost In A Flower (From ""A Whisker Away"")",65
26,Movie Star,93
27,Eren Zahyo,94
