,track_name,playlist_pos
0,acc,17
1,Charm,139
2,"WIN - ""The God of HighSchool"" ED",45
3,Contradiction (feat. Tyler Carter),46
4,In the Back Room,107
5,give it back,77
6,廻廻奇譚,54
7,livingroom,119
8,STYX HELIX,50
9,We'll Be Alright,136
10,ODDTAXI,76
11,インフェルノ,39
12,Dramaturgy,73
13,Re:Re: (2016 Version),58
14,"One more time, One more chance",21
15,chAngE,63
16,abnormalize,125
17,W●RK,121
18,RISE,30
19,"Ghost In A Flower (From ""A Whisker Away"")",65
20,Yoruwahonoka,105
21,Lemon,112
22,oath sign,24
23,だってアタシのヒーロー。,61
24,Adamas (Sword Art Online: Alicization),1
25,"Cagayake! Girls (From ""K-On!"")",116
26,うっせぇわ,80
27,Rolling Star (第98-120話 OP),12
