,track_name,playlist_pos
0,"Orange (From ""Toradora"")",14
1,Movie Star,93
2,"Ghost In A Flower (From ""A Whisker Away"")",65
3,ODDTAXI,76
4,だってアタシのヒーロー。,61
5,acc,17
6,Lost Umbrella,78
7,Is There Still Anything That Love Can Do?,23
8,LOST IN PARADISE,55
9,more than words,131
10,Let Me Be With You,48
11,katharsis,26
12,CLOSER(第78話〜第102話),57
13,TOP -Japanese ver.-,47
14,Sign,2
15,Show,140
16,Haru wo Tsugeru,79
17,三原色,81
18,Grand Escape (feat. Toko Miura),22
19,夜に駆ける,49
20,oath sign,24
21,分かってないよ,82
22,Vacation,106
23,シルエット,20
24,ピースサイン,34
25,Wind,98
26,ME!ME!ME! feat. daoko_pt.1,127
27,名前のない怪物,62
