,track_name,playlist_pos
0,arg.,122
1,Re:Re: (2016 Version),58
2,Sign,2
3,In the Back Room,107
4,innocent arrogance,120
5,SLUMP -Japanese ver.-,74
6,ブルーバード,29
7,Lost Umbrella,78
8,the end of childhood,123
9,Rendezvous,108
10,We'll Be Alright,136
11,空と虚,132
12,Flyers,28
13,Lemon,112
14,東京フラッシュ,115
15,不可幸力,41
16,hikari,42
17,chAngE,63
18,"Orange (From ""Toradora"")",14
19,katharsis,26
20,CLOSER(第78話〜第102話),57
21,右肩の蝶,126
22,Altern-ate-,66
23,FLY HIGH!!,31
24,遥か彼方,33
25,ラグトレイン,71
26,火炎,38
27,give it back,77
