,track_name,playlist_pos
0,Acoustic Installation,25
1,Rolling Star (第98-120話 OP),12
2,STAY ALIVE,70
3,勘冴えて悔しいわ,114
4,oath sign,24
5,give it back,77
6,ODDTAXI,76
7,Rendezvous,108
8,LilaS,133
9,わたしの線香,137
10,ニルヴァーナ,83
11,Flyers,28
12,unravel,27
13,うっせぇわ,80
14,Sparkle - movie ver.,8
15,Dream lantern,10
16,SLUMP -Japanese ver.-,74
17,RISE,30
18,"Orange (From ""Toradora"")",14
19,CLOSER(第78話〜第102話),57
20,一途,87
21,KICK BACK,104
22,lvs(var),15
23,Barricades,95
24,空に歌えば,60
25,Black Catcher,68
26,Altern-ate-,66
27,Avid,88
