,track_name,playlist_pos
0,Sparkle - movie ver.,8
1,天地ガエシ 『ハイキュー!!』EDバージョン,85
2,第六感,84
3,ME!ME!ME! feat. daoko_pt.1,127
4,Period,37
5,インフェルノ,39
6,うっせぇわ,80
7,WWW,138
8,"Orange (From ""Toradora"")",14
9,again,36
10,Is There Still Anything That Love Can Do?,23
11,Movie Star,93
12,Lemon,112
13,Flyers,28
14,Altern-ate-,66
15,Shogeki,86
16,more than words,131
17,ME!ME!ME! feat. daoko_pt.3,129
18,unravel,27
19,三原色,81
20,Counter Attack-Mankind,90
21,だってアタシのヒーロー。,61
22,ブルーバード,29
23,Black Catcher,68
24,Kyouran Hey Kids!!,19
25,Sign,2
26,CLOSER(第78話〜第102話),57
27,Haru wo Tsugeru,79
