,track_name,playlist_pos
0,右肩の蝶,126
1,"Ghost In A Flower (From ""A Whisker Away"")",65
2,The Slum City,91
3,Barricades,95
4,空と虚,132
5,Zenzenzense - movie ver.,11
6,天地ガエシ 『ハイキュー!!』EDバージョン,85
7,more than words,131
8,chAngE,63
9,innocent arrogance,120
10,うっせぇわ,80
11,Adamas (Sword Art Online: Alicization),1
12,Saishusenkoku,51
13,My Nonfiction,89
14,unravel,27
15,Wind,98
16,リセット,43
17,想いきり,111
18,veil,75
19,KICK BACK,104
20,春雷,44
21,Notice,67
22,W●RK,121
23,acc,17
24,that's a dream come true,110
25,Counter Attack-Mankind,90
26,Is There Still Anything That Love Can Do?,23
27,夜に駆ける,49
