,track_name,playlist_pos
0,Charm,139
1,ブルーバード,29
2,ニルヴァーナ,83
3,名前のない怪物,62
4,LilaS,133
5,Period,37
6,(i can) say nothing,16
7,Wind,98
8,Black Catcher,68
9,Todokanu Hito Ni,18
10,Hero's Come Back!!(第1話〜第30話),5
11,LOST IN PARADISE,55
12,Great Escape,6
13,Yoruwahonoka,105
14,ラグトレイン,71
15,Sign,2
16,katharsis,26
17,Dream lantern,10
18,Backlight,141
19,"Ghost In A Flower (From ""A Whisker Away"")",65
20,三原色,81
21,give it back,77
22,FAITH,64
23,Flyers,28
24,HACK,56
25,We'll Be Alright,136
26,asphyxia,35
27,lvs(var),15
