,track_name,playlist_pos
0,Nandemonaiya - movie edit.,9
1,分かってないよ,82
2,ME!ME!ME! feat. daoko_pt.1,127
3,MUKANJYO,102
4,unravel,27
5,My Nonfiction,89
6,Is There Still Anything That Love Can Do?,23
7,lvs(var),15
8,STYX HELIX,50
9,＊～アスタリスク～ (第1-25話 OP),13
10,Backlight,141
11,veil,75
12,"Ghost In A Flower (From ""A Whisker Away"")",65
13,Lemon,112
14,crossing field,7
15,oath sign,24
16,右肩の蝶,126
17,(i can) say nothing,16
18,ME!ME!ME! feat. daoko_pt.3,129
19,カワキヲアメク,59
20,acc,17
21,春雷,44
22,asphyxia,35
23,SPECIALZ,130
24,STAY ALIVE,70
25,Acoustic Installation,25
26,Show,140
27,Vacation,106
