,track_name,playlist_pos
0,うっせぇわ,80
1,Lost Umbrella,78
2,give it back,77
3,(i can) say nothing,16
4,katharsis,26
5,Adamas (Sword Art Online: Alicization),1
6,勘冴えて悔しいわ,114
7,名前のない怪物,62
8,空に歌えば,60
9,life hack,40
10,Shogeki,86
11,Haru wo Tsugeru,79
12,chAngE,63
13,the end of childhood,123
14,lvs(var),15
15,Acoustic Installation,25
16,分かってないよ,82
17,怪物,113
18,STYX HELIX,50
19,Barricades,95
20,Period,37
21,シルエット,20
22,Kyouran Hey Kids!!,19
23,不可幸力,41
24,RISE,30
25,リビングデッド・ユース,99
26,oath sign,24
27,FAITH,64
