,track_name,playlist_pos
0,ODDTAXI,76
1,わたしの線香,137
2,Show,140
3,遥か彼方,33
4,asphyxia,35
5,(i can) say nothing,16
6,リビングデッド・ユース,99
7,Wind,98
8,chAngE,63
9,だってアタシのヒーロー。,61
10,innocent arrogance,120
11,東京フラッシュ,115
12,勘冴えて悔しいわ,114
13,Contradiction (feat. Tyler Carter),46
14,MUKANJYO,102
15,カワキヲアメク,59
16,GO!!!,3
17,Nandemonaiya - movie edit.,9
18,STAY ALIVE,70
19,一途,87
20,Period,37
21,Backlight,141
22,FightSong,117
23,Notice,67
24,The Slum City,91
25,STYX HELIX,50
26,that's a dream come true,110
27,Movie Star,93
