,track_name,playlist_pos
0,Overdose,135
1,リセット,43
2,"WIN - ""The God of HighSchool"" ED",45
3,Wind,98
4,Out of Control,124
5,asphyxia,35
6,空と虚,132
7,Eren Zahyo,94
8,I Really Want to Stay at Your House,96
9,ME!ME!ME! feat. daoko_pt.1,127
10,FLY HIGH!!,31
11,火炎,38
12,不可幸力,41
13,WWW,138
14,乱舞のメロディ,103
15,Movie Star,93
16,My Nonfiction,89
17,Backlight,141
18,Period,37
19,右肩の蝶,126
20,Lemon,112
21,In the Back Room,107
22,Black Catcher,68
23,Re:Re: (2016 Version),58
24,again,36
25,Notice,67
26,"Cagayake! Girls (From ""K-On!"")",116
27,VORACITY,69
