,track_name,playlist_pos
0,I Really Want to Stay at Your House,96
1,Todokanu Hito Ni,18
2,WWW,138
3,夜に駆ける,49
4,Haru wo Tsugeru,79
5,"One more time, One more chance",21
6,Charm,139
7,Is There Still Anything That Love Can Do?,23
8,hikari,42
9,more than words,131
10,unravel,27
11,"Orange (From ""Toradora"")",14
12,インフェルノ,39
13,第六感,84
14,life hack,40
15,Period,37
16,Saishusenkoku,51
17,nail-biter,109
18,カワキヲアメク,59
19,Flyers,28
20,ME!ME!ME! feat. daoko_pt.3,129
21,Grand Escape (feat. Toko Miura),22
22,Nandemonaiya - movie edit.,9
23,CLOSER(第78話〜第102話),57
24,give it back,77
25,In the Back Room,107
26,ME!ME!ME! feat. daoko_pt.2,128
27,lvs(var),15
