,track_name,playlist_pos
0,空と虚,132
1,The Slum City,91
2,Dramaturgy,73
3,the end of childhood,123
4,怪物,113
5,Grand Escape (feat. Toko Miura),22
6,かかってこいよ,92
7,W●RK,121
8,Dream lantern,10
9,FLY HIGH!!,31
10,In the Back Room,107
11,more than words,131
12,give it back,77
13,Notice,67
14,＊～アスタリスク～ (第1-25話 OP),13
15,Re:Re: (2016 Version),58
16,Vacation,106
17,unravel,27
18,Togenkyo To Taxi,134
19,三原色,81
20,勘冴えて悔しいわ,114
21,Lost Umbrella,78
22,that's a dream come true,110
23,インフェルノ,39
24,Wind,98
25,Nandemonaiya - movie edit.,9
26,sweet dreams,118
27,THE DAY,32
